Дата;Значение
29.08.2019;9 510,20
28.08.2019;9 754,42
27.08.2019;10 185,50
26.08.2019;10 370,82
25.08.2019;10 138,52
24.08.2019;10 159,96
23.08.2019;10 407,97
22.08.2019;10 131,06
21.08.2019;10 138,05
20.08.2019;10 763,23
19.08.2019;10 916,05
18.08.2019;10 345,81
17.08.2019;10 231,74
16.08.2019;10 374,34
15.08.2019;10 311,55
14.08.2019;10 051,70
13.08.2019;10 895,83
12.08.2019;11 382,62
11.08.2019;11 523,58
10.08.2019;11 354,02
09.08.2019;11 862,94
08.08.2019;11 966,41
07.08.2019;11 941,97
06.08.2019;11 478,17
05.08.2019;11 805,65
04.08.2019;10 970,18
03.08.2019;10 821,73
02.08.2019;10 518,17
01.08.2019;10 399,67
31.07.2019;10 085,63
30.07.2019;9 607,42
29.07.2019;9 519,15
28.07.2019;9 552,86
27.07.2019;9 477,68
26.07.2019;9 870,30
25.07.2019;9 911,84
24.07.2019;9 811,93
23.07.2019;9 900,77
22.07.2019;10 343,11
21.07.2019;10 599,11
20.07.2019;10 767,14
19.07.2019;10 530,73
18.07.2019;10 666,48
17.07.2019;9 693,80
16.07.2019;9 477,64
15.07.2019;10 895,09
14.07.2019;10 256,06
13.07.2019;11 392,38
12.07.2019;11 815,99
11.07.2019;11 358,66
10.07.2019;12 156,51
09.07.2019;12 573,81
08.07.2019;12 285,96
07.07.2019;11 450,85
06.07.2019;11 208,55
05.07.2019;10 978,46
04.07.2019;11 215,44
03.07.2019;11 961,27
02.07.2019;10 801,68
01.07.2019;10 583,13
30.06.2019;10 817,16
29.06.2019;11 959,37
28.06.2019;12 407,33
27.06.2019;11 182,81
26.06.2019;13 016,23
25.06.2019;11 790,92
24.06.2019;11 011,10
23.06.2019;10 855,37
22.06.2019;10 701,69
21.06.2019;10 144,56
20.06.2019;9 527,16
19.06.2019;9 273,52
18.06.2019;9 081,76
17.06.2019;9 320,35
16.06.2019;8 994,49
15.06.2019;8 838,38
14.06.2019;8 693,83
13.06.2019;8 230,92
12.06.2019;8 145,86
11.06.2019;7 927,71
10.06.2019;8 000,33
09.06.2019;7 688,08
08.06.2019;7 954,13
07.06.2019;8 043,95
06.06.2019;7 822,02
05.06.2019;7 824,23
04.06.2019;7 707,77
03.06.2019;8 208,99
02.06.2019;8 742,96
01.06.2019;8 564,02
31.05.2019;8 574,50
30.05.2019;8 319,47
29.05.2019;8 659,49
28.05.2019;8 719,96
27.05.2019;8 805,78
26.05.2019;8 673,22
25.05.2019;8 052,54
24.05.2019;7 987,37
23.05.2019;7 881,85
22.05.2019;7 680,07
21.05.2019;7 963,33
20.05.2019;7 978,31
19.05.2019;8 197,69
18.05.2019;7 271,21
17.05.2019;7 343,90
16.05.2019;7 884,91
15.05.2019;8 205,17
14.05.2019;7 994,42
13.05.2019;7 814,92
12.05.2019;6 972,37
11.05.2019;7 204,77
10.05.2019;6 378,85
09.05.2019;6 174,53
08.05.2019;5 982,46
07.05.2019;5 829,50
06.05.2019;5 746,81
05.05.2019;5 795,71
04.05.2019;5 831,17
03.05.2019;5 768,29
02.05.2019;5 505,28
01.05.2019;5 402,70
30.04.2019;5 350,73
29.04.2019;5 247,35
28.04.2019;5 285,14
27.04.2019;5 268,29
26.04.2019;5 279,35
25.04.2019;5 210,52
24.04.2019;5 464,87
23.04.2019;5 572,36
22.04.2019;5 399,37
21.04.2019;5 314,53
20.04.2019;5 337,89
19.04.2019;5 303,81
18.04.2019;5 298,39
17.04.2019;5 251,94
16.04.2019;5 235,56
15.04.2019;5 067,11
14.04.2019;5 167,72
13.04.2019;5 096,59
12.04.2019;5 089,54
11.04.2019;5 064,49
10.04.2019;5 324,55
09.04.2019;5 204,96
08.04.2019;5 289,77
07.04.2019;5 198,90
06.04.2019;5 059,82
05.04.2019;5 036,68
04.04.2019;4 922,80
03.04.2019;4 973,02
